name,municipality,iata_code
Barksdale Air Force Base,Bossier City,BAD
Barnes Municipal Airport,Westfield/Springfield,BAF
Columbus Municipal Airport,Columbus,CLU
Battle Mountain Airport,Battle Mountain,BAM
Huron County Memorial Airport,Bad Axe,
New Braunfels Municipal Airport,New Braunfels,
Benson Municipal Airport,Benson,BBB
Curtis Field,Brady,BBD
Marlboro County Jetport H.E. Avent Field,Bennettsville,BTN
Broken Bow Municipal Airport,Broken Bow,BBW
Virginia Tech Montgomery Executive Airport,Blacksburg,BCB
Bryce Canyon Airport,Bryce Canyon,BCE
Black River Falls Area Airport,Black River Falls,
Boca Raton Airport,Boca Raton,BCT
Baudette International Airport,Baudette,BDE
Blanding Municipal Airport,Blanding,BDG
Boulder Junction Payzer Airport,Boulder Junction,
Bradley International Airport,Hartford,BDL
Bend Municipal Airport,Bend,
Morrilton Municipal Airport,Morrilton,
Igor I Sikorsky Memorial Airport,Bridgeport,BDR
Boulder Municipal Airport,Boulder,WBU
Broadus Airport,,
Bell Island Hot Springs Seaplane Base,Bell Island,KBE
Beeville Municipal Airport,Beeville,
Beech Factory Airport,Wichita,BEC
Laurence G Hanscom Field,Bedford,BED
Southwest Michigan Regional Airport,Benton Harbor,BEH
Boyne Mountain Airport,Boyne Falls,
Bradford Regional Airport,Bradford,BFD
Terry County Airport,Brownfield,
Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,BFF
Boeing Field King County International Airport,Seattle,BFI
Buffalo Municipal Airport,Buffalo,
Meadows Field,Bakersfield,BFL
Mobile Downtown Airport,Mobile,BFM
Virgil I Grissom Municipal Airport,Bedford,BFR
Silver Bay Municipal Airport,Silver Bay,
Hutchinson County Airport,Borger,BGD
Decatur County Industrial Air Park,Bainbridge,BGE
Winchester Municipal Airport,Winchester,
Greater Binghamton/Edwin A Link field,Binghamton,BGM
Bangor International Airport,Bangor,BGR
Hancock County-Bar Harbor Airport,Bar Harbor,BHB
Baxley Municipal Airport,Baxley,
Baker Municipal Airport,Baker,
Birmingham-Shuttlesworth International Airport,Birmingham,BHM
Block Island State Airport,Block Island,BID
Beatrice Municipal Airport,Beatrice,BIE
Biggs Army Air Field (Fort Bliss),Fort Bliss/El Paso,BIF
Eastern Sierra Regional Airport,Bishop,BIH
Early County Airport,Blakely,
Billings Logan International Airport,Billings,BIL
Bismarck Municipal Airport,Bismarck,BIS
Tulip City Airport,Holland,
Keesler Air Force Base,Biloxi,BIX
Rocky Mountain Metropolitan Airport,Denver,BJC
Bemidji Regional Airport,Bemidji,BJI
Wayne County Airport,Wooster,BJJ
Stephens County Airport,Breckenridge,BKD
Baker City Municipal Airport,Baker City,BKE
Buckley Air Force Base,Aurora,BFK
Burke Lakefront Airport,Cleveland,BKL
Blackwell Tonkawa Municipal Airport,Blackwell,
Brooks County Airport,Falfurrias,
Allen C Perkinson Blackstone Army Air Field,Blackstone,BKT
Hernando County Airport,Brooksville,
Raleigh County Memorial Airport,Beckley,BKW
Brookings Regional Airport,Brookings,BKX
Mercer County Airport,Bluefield,BLF
Blythe Airport,Blythe,BLH
Bellingham International Airport,Bellingham,BLI
Monmouth Executive Airport,Belmar/Farmingdale,BLM
Blue Canyon Nyack Airport,Emigrant Gap,BLU
Scott AFB/Midamerica Airport,Belleville,BLV
Kabwum,,KBM
Brigham City Airport,Brigham City,BMC
Monroe County Airport,Bloomington,BMG
Central Illinois Regional Airport at Bloomington-Normal,Bloomington/Normal,BMI
Berlin Regional Airport,Berlin,BML
Burnet Municipal Kate Craddock Field,Burnet,
Beaumont Municipal Airport,Beaumont,BMT
Nashville International Airport,Nashville,BNA
Banning Municipal Airport,Banning,BNG
Barnwell Regional Airport,Barnwell,BNL
Burns Municipal Airport,Burns,BNO
Boone Municipal Airport,Boone,BNW
Boise Air Terminal/Gowen field,Boise,BOI
General Edward Lawrence Logan International Airport,Boston,BOS
Bartow Municipal Airport,Bartow,BOW
Big Spring Mc Mahon-Wrinkle Airport,Big Spring,BGS
Miley Memorial Field,Big Piney,BPI
Ozark Regional Airport,Mountain Home,WMH
Bowman Municipal Airport,Bowman,BWM
Southeast Texas Regional Airport,Beaumont/Port Arthur,BPT
Brunswick Golden Isles Airport,Brunswick,BQK
Morehouse Memorial Airport,Bastrop,
Buffalo Lancaster Regional Airport,Lancaster,
Brainerd Lakes Regional Airport,Brainerd,BRD
Southeast Iowa Regional Airport,Burlington,BRL
Brownsville South Padre Island International Airport,Brownsville,BRO
Samuels Field,Bardstown,BRY
Belfast Municipal Airport,Belfast,
Blair Municipal Airport,Blair,
Skypark Airport,Bountiful,BTF
W K Kellogg Airport,Battle Creek,BTL
Bert Mooney Airport,Butte,BTM
Britton Municipal Airport,Britton,
Butler County-K W Scholter Field,Butler,BTP
"Baton Rouge Metropolitan, Ryan Field",Baton Rouge,BTR
Burlington International Airport,Burlington,BTV
Beatty Airport,Beatty,BTY
Cram Field,Burwell,BUB
Buffalo Niagara International Airport,Buffalo,BUF
Butler Memorial Airport,Butler,BUM
Bob Hope Airport,Burbank,BUR
Burlington Municipal Airport,Burlington,
Burlington Alamance Regional Airport,Burlington,
Beaver County Airport,Beaver Falls,BFP
Albion Municipal Airport,Albion,
Bartlesville Municipal Airport,Bartlesville,BVO
Skagit Regional Airport,Burlington/Mount Vernon,
Batesville Regional Airport,Batesville,BVX
Beverly Municipal Airport,Beverly,BVY
Brawley Municipal Airport,Brawley,BWC
Brownwood Regional Airport,Brownwood,BWD
Bowling Green Warren County Regional Airport,Bowling Green,BWG
Baltimore/Washington International Thurgood Marshall Airport,Baltimore,BWI
Harry Stern Airport,Wahpeton,WAH
George R Carr Memorial Air Field,Bogalusa,BXA
Burke County Airport,Waynesboro,
Buckeye Municipal Airport,Buckeye,BXK
Johnson County Airport,Buffalo,BYG
Arkansas International Airport,Blytheville,BYH
Burley Municipal Airport,Burley,BYI
Bicycle Lake Army Air Field,Fort Irwin/Barstow,BYS
Bay City Municipal Airport,Bay City,BBC
Gallatin Field,Bozeman,BZN
Grand Geneva Resort Airport,Lake Geneva,
Nappanee Municipal Airport,Nappanee,
Oceana County Airport,Hart/Shelby,
Silver West Airport,Westcliffe,
Morris Municipal James R. Washburn field,Morris,
Pekin Municipal Airport,Pekin,
Frasca Field,Urbana,
Marion Airport,Marion,
Andrews University Airpark,Berrien Springs,
Centre Municipal Airport,Centre,
Mineral County Memorial Airport,Creede,
Manchester Municipal Airport,Manchester,
Middleton Municipal Morey Field,Middleton,
Reedsburg Municipal Airport,Reedsburg,
Portage Municipal Airport,Portage,
Kendallville Municipal Airport,Kendallville,
Plymouth Municipal Airport,Plymouth,
Crosby Municipal Airport,Crosby,
Dixon Municipal Charles R. Walgreen Field,Dixon,
Cassville Municipal Airport,Cassville,
Marshall County Airport,Lacon,
Poplar Grove Airport,Poplar Grove,
New Coalinga Municipal Airport,Coalinga,CLG
Campbell Airport,Grayslake,
Byron Airport,Byron,
Dowagiac Municipal Airport,Dowagiac,
Wexford County Airport,Cadillac,CAD
Columbia Metropolitan Airport,Columbia,CAE
Craig Moffat Airport,Craig,CIG
Akron Canton Regional Airport,Akron,CAK
Clayton Municipal Airpark,Clayton,CAO
Caribou Municipal Airport,Caribou,CAR
Clarion Municipal Airport,Clarion,
Greater Cumberland Regional Airport,Cumberland,CBE
Council Bluffs Municipal Airport,Council Bluffs,CBF
Cambridge Municipal Airport,Cambridge,
Shalz Field,Colby,CBK
Columbus Air Force Base,Columbus,CBM
Coffman Cove Seaplane Base,Coffman Cove,KCC
Clinton Municipal Airport,Clinton,
Cable Airport,Upland,CCB
Newnan Coweta County Airport,Atlanta,
Buchanan Field,Concord,CCR
Northeast Iowa Regional Airport,Charles City,CCY
Caledonia County Airport,Lyndonville,LLX
Cedar City Regional Airport,Cedar City,CDC
Harrell Field,Camden,CDH
Cambridge Municipal Airport,Cambridge,
Woodward Field,Camden,CDN
Chadron Municipal Airport,Chadron,CDR
Childress Municipal Airport,Childress,CDS
Essex County Airport,Caldwell,CDW
Cessna Aircraft Field,Wichita,CEA
Jack Mc Namara Field Airport,Crescent City,CEC
Westover ARB/Metropolitan Airport,Springfield/Chicopee,CEF
Crete Municipal Airport,Crete,
Oconee County Regional Airport,Clemson,CEU
Mettel Field,Connersville,CEV
Bob Sikes Airport,Crestview,CEW
Kyle Oakley Field,Murray,CEY
Cortez Municipal Airport,Cortez,CEZ
Coulter Field,Bryan,CFD
Buffalo Municipal Airport,Buffalo,
Crawfordsville Municipal Airport,Crawfordsville,
Tuscola Area Airport,Caro,
Greenlee County Airport,Clifton/Morenci,CFT
Coffeyville Municipal Airport,Coffeyville,CFV
Chignik Fisheries Airport,Chignik,KCG
Crystal River Airport,Crystal River,
Cambridge Dorchester Airport,Cambridge,CGE
Cuyahoga County Airport,Cleveland,CGF
Cape Girardeau Regional Airport,Cape Girardeau,CGI
College Park Airport,College Park,CGS
Chicago Meigs Airport,Chicago,CGX
Casa Grande Municipal Airport,Casa Grande,
Lovell Field,Chattanooga,CHA
Wauseon Airport,Wauseon,
Chandler Municipal Airport,Chandler,
Chickasha Municipal Airport,Chickasha,CHK
Wauchula Municipal Airport,Wauchula,
Charlottesville Albemarle Airport,Charlottesville,CHO
Mississippi County Airport,Charleston,
Charleston Air Force Base-International Airport,Charleston,CHS
Chillicothe Municipal Airport,Chillicothe,
Houston County Airport,Caledonia,
Chico Municipal Airport,Chico,CIC
The Eastern Iowa Airport,Cedar Rapids,CID
Choteau Airport,Choteau,
Arthur N Neu Airport,Carroll,CIN
Cairo Regional Airport,Cairo,CIR
Chippewa County International Airport,Sault Ste Marie,CIU
Culpeper Regional Airport,Culpeper,
Kegelman AF Aux Field,Cherokee,CKA
North Central West Virginia Airport,Clarksburg,CKB
Grand Marais Cook County Airport,Grand Marais,GRM
Crisp County Cordele Airport,Cordele,
Williamsburg Regional Airport,Kingstree,
Fletcher Field,Clarksdale,CKM
Crookston Municipal Kirkwood Field,Crookston,CKN
Cherokee County Regional Airport,Cherokee,
Clarksville?�Montgomery County Regional Airport,Clarksville,CKV
Pennridge Airport,Perkasie,
Chignik Lagoon Airport,Chignik Flats,KCL
Cleveland Hopkins International Airport,Cleveland,CLE
Clintonville Municipal Airport,Clintonville,CLI
Clinton Regional Airport,Clinton,CLK
Easterwood Field,College Station,CLL
William R Fairchild International Airport,Port Angeles,CLM
Cliff Hatfield Memorial Airport,Calipatria,CLR
Chehalis Centralia Airport,Chehalis,CLS
Charlotte Douglas International Airport,Charlotte,CLT
Clearwater Air Park,Clearwater,CLW
Camarillo Airport,Camarillo,
Port Columbus International Airport,Columbus,CMH
University of Illinois Willard Airport,Champaign/Urbana,CMI
H.A. Clark Memorial Field,Williams,
Houghton County Memorial Airport,Hancock,CMX
Sparta Fort Mc Coy Airport,Sparta,
Chernofski Harbor Seaplane Base,Chernofski Harbor,KCN
Myers Field,Canby,
Chariton Municipal Airport,Chariton,
Claremont Municipal Airport,Claremont,CNH
Blosser Municipal Airport,Concordia,CNK
Cavern City Air Terminal,Carlsbad,CNM
Chino Airport,Chino,CNO
Billy G Ray Field,Chappell,
Chanute Martin Johnson Airport,Chanute,CNU
TSTC Waco Airport,Waco,CNW
Canyonlands Field,Moab,CNY
Yellowstone Regional Airport,Cody,COD
Coeur D'Alene - Pappy Boyington Field,Coeur d'Alene,COE
Patrick Air Force Base,Cocoa Beach,COF
Merritt Island Airport,Merritt Island,COI
Coleman Municipal Airport,Coleman,COM
Concord Municipal Airport,Concord,CON
Cloquet Carlton County Airport,Cloquet,
City of Colorado Springs Municipal Airport,Colorado Springs,COS
Cotulla-La Salle County Airport,Cotulla,COT
Columbia Regional Airport,Columbia,COU
Columbus County Municipal Airport,Whiteville,
Chesapeake Regional Airport,Norfolk,
Compton Woodley Airport,Compton,CPM
Casper-Natrona County International Airport,Casper,CPR
St Louis Downtown Airport,Cahokia/St Louis,CPS
Cleburne Municipal Airport,Cleburne,
Calaveras Co Maury Rasmussen Field,San Andreas,
Lakefield Airport,Celina,
Chandler Regional Airport,Chandler,
Cook Municipal Airport,Cook,
Cheraw Municipal Airport/Lynch Bellinger Field,Cheraw,HCW
Chatham Municipal Airport,Chatham,
Colorado Creek Airport,Colorado Creek,KCR
Grand Strand Airport,North Myrtle Beach,CRE
Jacksonville Executive at Craig Airport,Jacksonville,CRG
Corcoran Airport,Corcoran,CRO
Corpus Christi International Airport,Corpus Christi,CRP
Mc Clellan-Palomar Airport,Carlsbad,CLD
C David Campbell Field Corsicana Municipal Airport,Corsicana,CRS
Z M Jack Stell Field,Crossett,CRT
Yeager Airport,Charleston,CRW
Roscoe Turner Airport,Corinth,CRX
Corning Municipal Airport,Corning,
Cambridge Municipal Airport,Cambridge,
Columbus Metropolitan Airport,Columbus,CSG
Clinton Sherman Airport,Clinton,CSM
Creston Municipal Airport,Creston,CSQ
Crossville Memorial Whitson Field,Crossville,CSV
Cut Bank International Airport,Cut Bank,CTB
West Georgia Regional O V Gray Field,Carrollton,
Ingersoll Airport,Canton,
Cross City Airport,Cross City,CTY
Sampson County Airport,Clinton,CTZ
Jim Hamilton L.B. Owens Airport,Columbia,CUB
Cushing Municipal Airport,Cushing,CUH
Carmi Municipal Airport,Carmi,
Custer County Airport,Custer,
Castroville Municipal Airport,Castroville,
Cincinnati Northern Kentucky International Airport,Cincinnati,CVG
Sharp County Regional Airport,Ash Flat,
Clovis Municipal Airport,Clovis,CVN
Corvallis Municipal Airport,Corvallis,CVO
Cannon Air Force Base,Clovis,CVS
Charlevoix Municipal Airport,Charlevoix,
Central Wisconsin Airport,Mosinee,CWA
Kickapoo Downtown Airport,Wichita Falls,KIP
Chennault International Airport,Lake Charles,CWF
Clinton Municipal Airport,Clinton,CWI
White Mountain Airport,North Conway,
Dennis F Cantrell Field,Conway,
Claxton Evans County Airport,Claxton,
Chase City Municipal Airport,Chase City,
Calexico International Airport,Calexico,CXL
Lone Star Executive Airport,Houston,CXO
Carson Airport,Carson City,CSN
Camilla Mitchell County Airport,Camilla,
Capital City Airport,Harrisburg,HAR
Pickaway County Memorial Airport,Circleville,
Cheyenne Regional Jerry Olson Field,Cheyenne,CYS
Clay Center Municipal Airport,Clay Center,
Cozad Municipal Airport,Cozad,
Tri Cities Airport,Endicott,
Tom B. David Field,Calhoun,
Dimmit County Airport,Carrizo Springs,
Norman County Ada Twin Valley Airport,Ada/Twin Valley,
Osage Municipal Airport,Osage,
Garrison Municipal Airport,Garrison,
Faith Municipal Airport,Faith,
Bottineau Municipal Airport,Bottineau,
Ojibwa Airpark,Weidman,
Fertile Municipal Airport,Fertile,
Westwinds Airport,Delta,
Arcade Tri County Airport,Arcade,
Manitowish Waters Airport,Manitowish Waters,
Leeds Municipal Airport,Leeds,
Warren Municipal Airport,Warren,
Sauk Centre Municipal Airport,Sauk Centre,
Springfield Municipal Airport,Springfield,
Crosby Municipal Airport,Crosby,
West Fargo Municipal Airport,Fargo,
Robertson Field,Langdon,
Mayville Municipal Airport,Mayville,
Glen Ullin Regional Airport,Glen Ullin,
Tioga Municipal Airport,Tioga,
Westhope Municipal Airport,Westhope,
Springerville Municipal Airport,Springerville,
Monroe Walton County Airport,Monroe,
Chorman Airport,Farmington,
Boonville Airport,Boonville,
Sequoia Field,Visalia,
Dupont Lapeer Airport,Lapeer,
Romeo State Airport,Romeo,
Davison Army Air Field,Fort Belvoir,DAA
Daytona Beach International Airport,Daytona Beach,DAB
Necedah Airport,Necedah,
Barstow Daggett Airport,Daggett,DAG
Dallas Love Field,Dallas,DAL
Danville Regional Airport,Danville,DAN
Skyhaven Airport,Rochester,
James M Cox Dayton International Airport,Dayton,DAY
W H 'Bud' Barron Airport,Dublin,DBN
Dubuque Regional Airport,Dubuque,DBQ
Ronald Reagan Washington National Airport,Washington,DCA
Chester Catawba Regional Airport,Chester,
Pryor Field Regional Airport,Decatur,DCU
Daviess County Airport,Washington,
Dodge City Regional Airport,Dodge City,DDC
William H. Morse State Airport,Bennington,
Decatur Airport,Decatur,DEC
Deland Municipal Sidney H Taylor Field,Deland,
Decorah Municipal Airport,Decorah,DEH
Denver International Airport,Denver,DEN
J Lynn Helms Sevier County Airport,De Queen,
Coleman A. Young Municipal Airport,Detroit,DET
Deer Park Airport,Deer Park,
Defiance Memorial Airport,Defiance,DFI
Dallas Fort Worth International Airport,Dallas-Fort Worth,DFW
Douglas Municipal Airport,Douglas,DGL
Converse County Airport,Douglas,DGW
Dothan Regional Airport,Dothan,DHN
Dalhart Municipal Airport,Dalhart,DHT
Driggs Reed Memorial Airport,Driggs,
Dickinson Theodore Roosevelt Regional Airport,Dickinson,DIK
De Kalb Taylor Municipal Airport,De Kalb,
Chautauqua County-Dunkirk Airport,Dunkirk,DKK
Houston County Airport,Crockett,
Knoxville Downtown Island Airport,Knoxville,
Dillon County Airport,Dillon,DLL
Laughlin Air Force Base,Del Rio,DLF
Duluth International Airport,Duluth,DLH
Baraboo Wisconsin Dells Airport,Baraboo,
Dillon Airport,Dillon,DLN
Delano Municipal Airport,Delano,
Columbia Gorge Regional the Dalles Municipal Airport,The Dalles,DLS
Delaware Municipal Airport,Delaware,
Davis Monthan Air Force Base,Tucson,DMA
Deming Municipal Airport,Deming,DMN
Sedalia Memorial Airport,Sedalia,DMO
Carroll County Regional Jack B Poage Field,Westminster,
Daniel Field,Augusta,DNL
Dalton Municipal Airport,Dalton,DNN
Denison Municipal Airport,Denison,DNS
Vermilion Regional Airport,Danville,DNV
Dover Air Force Base,Dover,DOV
Kandep Airport,Kandep,KDP
Dupage Airport,Chicago/West Chicago,DPA
Michael AAF (Dugway Proving Ground) Airport,Dugway Proving Ground,DPG
Duplin County Airport,Kenansville,
Kamberatoro Airport,Kamberatoro Mission,KDQ
Douglas Municipal Airport,Douglas,
Desert Rock Airport,Mercury,
Beauregard Regional Airport,De Ridder,DRI
Drummond Island Airport,Drummond Island,DRE
Durango La Plata County Airport,Durango,DRO
Del Rio International Airport,Del Rio,DRT
Kamaran Downs Airport,Kamaran Downs,KDS
Des Moines International Airport,Des Moines,DSM
Dansville Municipal Airport,Dansville,DSV
Delta Municipal Airport,Delta,DTA
Detroit Lakes Airport - Wething Field,Detroit Lakes,DTL
Shreveport Downtown Airport,Shreveport,DTN
Denton Municipal Airport,Denton,
Destin Fort Walton Beach Airport,Destin,DSI
Detroit Metropolitan Wayne County Airport,Detroit,DTW
Eaker Field,Durant,DUA
Halliburton Field,Duncan,DUC
Bisbee Douglas International Airport,Douglas Bisbee,DUG
Toledo Suburban Airport,Lambertville,
DuBois Regional Airport,Dubois,DUJ
Moore County Airport,Dumas,
Stuart Powell Field,Danville,
Devils Lake Regional Airport,Devils Lake,DVL
Davenport Municipal Airport,Davenport,DVN
Gnoss Field,Novato,
Slayton Municipal Airport,Slayton,
Phoenix Deer Valley Airport,Phoenix,DVT
Victoria Reservoir Seaplane Base,Kandy,KDW
Yolo County Davis Woodland Winters Airport,Davis/Woodland/Winters,
Wright Field,Dayton,DWF
David Wayne Hooks Memorial Airport,Houston,DWH
Ashland Regional Airport,Ashland,
Dexter Municipal Airport,Dexter,
Danbury Municipal Airport,Danbury,DXR
Lac Qui Parle County Airport,Madison,
Demopolis Municipal Airport,Demopolis,
Summerville Airport,Summerville,
Doylestown Airport,Doylestown,DYL
Dyersburg Regional Airport,Dyersburg,
Dyess Air Force Base,Abilene,DYS
Sky Harbor Airport,Duluth,
Polgolla Reservoir Seaplane Base,Kandy,KDZ
Horseshoe Bay Resort Airpark,Horseshoe Bay,
Blairsville Airport,Blairsville,
Mfangano Airport,Mfangano Island,
Nzoia Airport,Nzoia,
Rusinga Airport,Rusinga,
Oropoi Airport,Oropoi,
Mara Shikar Airport,Mara Shikar,
Intrepid Mara Airport,Masai Mara National Park,
Chepgoiven Airport,Chepgoiven,
Muswani Airport,Muswani,
Sergoit Airport,Sergoit,
Siana Springs Airport,Siana Springs,
Olerai Airport,Olerai,
Oleshabani Airport,Oleshabani,
Njoro Country Club Airport,Njoro,
Barclays Airport,Nakuru,
Lake Baringo (Kampi Ya Samaki) Airport,Lake Baringo,
Shompole (Dry Lake) Airport,Shompole,
"Shompole (""All"" weather) Airport",Shompole,
Kapedo Airport,Kapedo,
Naishi Airport,Naishi,
Congrieve Airport,Congrieve,
Ndabibi Airport,Ndabibi,
Seislucho Airport,Seislucho,
Kongoni Airport,Kongoni,
Delamare Camp Airport,Nakuru,
Ngelesha Airport,Ngelesha,
Oserongoni Airport,Oserongoni,
Loldia Airport,Loldia,
Manyatta Airport,Manyatta,
Nyahururu Airport,Nyahururu,
Kigio (Malewa) Airport,Kigio (Malewa),
Ndume Langa Airport,Ndume,
Mugle Ranch Airport,Mugle Ranch,
Olmaisor Airport,Olmaisor,
Orly (Olooitikosh) Airport,Orly (Olooitikosh),
Tadlitium Airport,Tadlitium,
Muridjo Ranch Airport,,
Nanyuki West Airport,Nanyuki West,
Olpejeta Airport,Olpejeta,
El Karama Airport,,
Talu Airport,Talu,
Laburra Airport,Laburra,
Hall Hall Airport,,
Hall Strip Airport,,
Kamwaki Farm Airport,Kamwaki Farm,
Ibis Farm Airport,,
Oldonyo Farm Airport,,
Tassia Airport,Tassia,
Wanguru (Thiba) Airport,Wanguru (Thiba),
Loloroi Airport,Loloroi,
Sarara Airport,Sarara,
Rutundu Airport,Rutundu,
Il Ngwesi Airport,Il Ngwesi,
Mbirikani Airport,Mbirikani,
Harris Hills Airport,Harris Hills,
Lake Jipe Airport,Lake Jipe,
Finch Hattons Airport,Finch Hattons,
Maktau Gate Airport,Maktau,
Kamboyo(Tsavo West) Airport,Kamboyo,
Kangetchwa Airport,Kangetchwa,
Mulika Lodge Airport,Meru-Kinna,JJM
Ithumba Airport,Ithumba,
Satao Airport,Satao,
Kone Airport,Kone,
Moyale (Boma) Airport,Moyale,
Crocodile Camp Airport,Crocodile Camp,
Kwale Airport,Kwale,
Kore Galana Ranch Airport,,
Komawayu (Tanke) Airport,Komawayu (Tanke),
Vipingo Estate Airport,Vipingo Estate,VPG
Kijipwa Airport,Kijipwa,
Garsen Airport,Garsen,
Rhamu Airport,Rhamu,
Private Airstrip,,
Private Airstrip,,
Laikipia Air Base,Nanyuki,
Private Airstrip near Lenana,Lenana,
Laisamis Airport,Laisamis,
Lokori Airport,Lokori,
Arroket Airport,Arroket,
Balesa Airport,Balesa,
Fig Tree  Airport,Masai Mara National Park,
Head Office Delamere Estates Airport,Head Office Delamere Estates,
Itona Ranch Airport,Itona Ranch,
Karimbuni Airport,Karimbuni,
Masai Mara Airport,Kichwa Tembo,
Kisima Farm Airport,,
Kamok Airport,Kamok,
Kulalu Ranch Airport,,
Lubarra Airport,Lubarra,
Hagadera Airport,Dadaab,
Lomolo Airport,Lomolo,
Loporot Airport,Loporot,
Lothagah Airport,Lothagah,
Lotubae Airport,Lotubae,
Menengai Airport,Menengai,
Nampaso Airport,Nampaso,
Ndovu Airport,Ndovu,
Lanet Prairies Airport,Neylan's,
Ngore Ngore Airport,Ngore Ngore,
Njoro Airport,Njoro,
Nkreta Airport,Nkreta,
Oleleren Airport,Olereren,
Gaitu Airport,Gaitu,
Taita Hills Airport,Taita Hills,
Taveta Sisal Airport,Taveta Sisal,
Turkwel Gorge Airport,Turkwel Gorge,
Ziwani Airport,Ziwani,
Didima Bule Airport,Didima Bule,
Komofodo Galana Ranch Airport,Komofodo Galana,
Embori Farm Airport,Embori Farm,
Shekiko Airport,Shekiko,
Ngerende Airport,Ngerende,
Barina Airport,Barina,
Soy-Chemoset Airport,SOY-Chemoset,
Ngorare Ranch Airport,Ngorare,
Ilkek Airport,Ilkek,
Kalacha South Airport,Kalacha South,
Masnami Airport,Masnami,
Segera Ranch Airport,,
Lali Galana Airport,Lali Galana,
Kilgoris Airport,Kilgoris,
Oserian Naivasha Airport,Oserian,
Kinna Airport,Kinna,
Green Park Airport,Green Park,
Buffalo Airport,Mara,
Cottar's Camp Airport,Cottar's Camp,
Maji Mazuri Airport,Maji Mazuri,
Kilifi Plantation Farm Airport,Kilifi,
Mitunguu Airport,Mitunguu,
Mkowe Airport,Mkowe,
Olkurruk Mara Airport,Olkurruk Mara,
Musiara Airstrip,Musiara,
Namanga Airport,Namanga,
Beverley Airport,North Horr,
Solio Ranch Airport,,
Rumuruti Airport,Rumuruti,
Sabarei Airport,Sabarei,
Sigor Airport,Sigor,
Oljogi Ranch Airport,,
Todenyang Airport,Todenyang,
Voi Park Airport,Voi,
Wamba Airport,Wamba,
Olkiombo Airport,Olkiombo,
Laikipia Ranch Airport,,
Lunga-Lunga Airport,Lunga-Lunga,
Maralal Airport,Maralal,
Kakuma Airport,Kakuma,
Taveta Airport,Taveta,
Kajiado Airport,Kajiado,
Marrian's Airport,Mweiga,
Nginyang (Kinkang) Airport,Nginyang,
Ngulia Lodge Airport,Ngulia Lodge,
Takabba Airport,Takabba,
Sololo Airport,Sololo,
Banisa Airport,Banisa,
George Smith Farm Airport,,
Impala Farm Airport,Impala Farm,
Shimba Hills Airport,Shimba Hills,
Mount Kenya Game Ranch Airport,Mount Kenya,
Lewa Downs Airport,Lewa Downs,
Kapsumbeiwa Nandi Airport,Kapsumbeiwa Nandi,
Baragoi Airport,Baragoi,
Changoi Tea Estate Airport,Changoi Tea Estate,
Borana Airport,Borana,
Kambi Ya Samaki Airport,Kambi Ya,
Samburu North Airport,Koitogo,
Masalani (Fanjaa) Airport,Masalani,
Mado Gashi Airport,Mado Gashi,
Lokichar Airport,Lokichar,
Kapenguria (Kisiaunet) Airport,Kapenguria,
Hulugho Airport,Hulugho,
Aruba Airport,Aruba,
Kerio Valley Airport,Kimwarer,KRV
Kapchomuswo (Kabarnet) Airport,Kapchomuswo,
Kiunga Airport,Kiunga,KIU
Liboi Airport,Liboi,LBK
Lake Baringo Airport,Lake Baringo,LBN
Lake Rudolf Airport,Lake Rudolf,LKU
Mara Lodges Airport,Mara Lodges,MRE
Mumias Airport,Mumias,MUM
Roy Hurd Memorial Airport,Monahans,
Hatch Municipal Airport,Hatch,
Lea County-Zip Franklin Memorial Airport,Lovington,
Andrews County Airport,Andrews,
Crane County Airport,Crane,CCG
Ohkay Owingeh Airport,Espanola,ESO
South County Airport of Santa Clara County Airport,San Martin,
Gruver Municipal Airport,Gruver,
Whiteriver Airport,Whiteriver,
Wickenburg Municipal Airport,Wickenburg,
Lea County Jal Airport,Jal,
Bruce Field,Ballinger,
Smiley Johnson Municipal-Bass Field,Clarendon,
Fabens Airport,Fabens,
Alpine Casparis Municipal Airport,Alpine,ALE
Reagan County Airport,Big Lake,
Spearman Municipal Airport,Spearman,
Pine Mountain Lake Airport,Groveland,
Upton County Airport,Mc Camey,
Bagdad Airport,Bagdad,BGT
Oldham County Airport,Vega,
Denver City Airport,Denver City,
Eloy Municipal Airport,Eloy,
Gila Bend Municipal Airport,Gila Bend,
Kearny Airport,Kearny,
San Manuel Airport,San Manuel,
Sells Airport,Sells,
Alexander Municipal Airport,Belen,
Conchas Lake Airport,Conchas Dam,
Chinle Municipal Airport,Chinle,
Benson Municipal Airport,Benson,
Mid Valley Airpark,Los Lunas,
Eagle Grove Municipal Airport,Eagle Grove,
Phifer Airfield,Wheatland,
Kearney Regional Airport,Kearney,EAR
Pangborn Memorial Airport,Wenatchee,EAT
Chippewa Valley Regional Airport,Eau Claire,EAU
Nanwalek Airport,Nanwalek,KEB
South Texas International At Edinburg Airport,Edinburg,
Webster City Municipal Airport,Webster City,EBS
Elizabeth City Regional Airport & Coast Guard Air Station,Elizabeth City,ECG
Northwest Florida Beaches International Airport,Panama City Beach,ECP
Mondell Field,Newcastle,
Edwards County Airport,Rocksprings,
Austin Executive Airport,Austin,
Northeastern Regional Airport,Edenton,EDE
Weide Ahp (Aberdeen Proving Ground) Heliport,Edgewood Arsenal,
Bellefontaine Regional Airport,Bellefontaine,
